texto,nota,data,app,sentimento,tamanho,palavras,ano_mes
Lixo,1,2019-10-08 21:42:36,Khan Academy,Negativo,4,1,2019-10
Muito caro,1,2024-04-12 18:45:11,Babbel,Negativo,10,2,2024-04
está fora de cervidor já usei antes e agora não tá funcionando mais,1,2026-04-05 16:34:47,Duolingo,Negativo,67,13,2026-04
"Esse app sempre foi muito bom, mas há algumas semanas que ele não abre sempre volta para tela inicial quando seleciono o e-mail que devo acessar.",1,2024-08-14 08:24:43,Google Classroom,Negativo,145,26,2024-08
"é útil? é. Mas e MUITO mal feito pqp, além de sempre travar é da B.O nós piores momentos... mas o conceito do app é legal",2,2025-10-04 01:19:54,Google Classroom,Negativo,121,26,2025-10
"Não estou conseguindo enviar minha redação para o sistema da escola. Quando tiro a foto para enviar, o aplicativo fecha e não consigo.",1,2025-03-11 22:01:44,Google Classroom,Negativo,134,23,2025-03
e muitu ruim,2,2026-01-04 22:52:48,Google Classroom,Negativo,12,3,2026-01
"Aplicativo com problemas visuais, impossibilitando de enxergar o conteúdo. precisa ser corrigido",2,2025-09-03 11:15:34,Udemy,Negativo,96,12,2025-09
"um lixo, no anúncio fala q é de graça mais quando vc baixa ele te obriga a pagar, e com isso n aprende nada. Eu simplesmente odiei e n recomendo para ninguém. A gente só consegue estudar 5 rodadas. e principalmente isso é um roubo e enganação",1,2025-02-10 12:25:53,Quizlet,Negativo,242,47,2025-02
"péssimo, trava muito, muitos bugs",1,2026-03-11 15:27:34,Google Classroom,Negativo,33,5,2026-03
simplesmente horrível,1,2024-12-12 15:29:43,Google Classroom,Negativo,21,2,2024-12
Da erro de conexão a cada 1 semana,2,2023-06-29 08:24:50,Google Classroom,Negativo,34,8,2023-06
"Aplicativo aponta que o dispositivo não contém conexão com a internet, já tentei usando wi-fi e dados móveis, alterei também nas configurações para não ter restrição de internet em nenhuma ocasião e o erro persiste não sendo possível acessar nada.",1,2023-02-15 11:57:12,Udemy,Negativo,247,40,2023-02
Odeio estudar,1,2023-01-28 09:57:14,Google Classroom,Negativo,13,2,2023-01
num chega notificação Po tô perdendo minhas atividades arruma aí fazendo favor,1,2025-07-11 17:37:52,Google Classroom,Negativo,78,12,2025-07
"Horrível, esse ano o class conseguiu ser pior que as outras vezes que usei, além de não notificar os trabalhos que os professores mandam de atividade, quando vou mandar o anexo do trabalho eu preciso apertar 4 vezes pra ir por que NÃO APARECE de jeito nenhum, e não é apenas comigo, falei sobre isso com os meus colegas eles estão com o mesmo problema. Tem atividades que precisam ser entregue no mesmo dia em tal hora e se eu não entrar no aplicativo, eu não posso mandar depois a atividade.",1,2025-07-08 12:07:28,Google Classroom,Negativo,492,91,2025-07
Lixo,1,2023-04-05 13:49:29,Google Classroom,Negativo,4,1,2023-04
"poderia ter idiomas asiáticos também, como o coreano e o japonês.",1,2025-06-22 15:02:24,Babbel,Negativo,65,11,2025-06
