texto,nota,data,app,sentimento,texto_preprocessado,texto_stemmed,texto_lemmatized
Lixo,1,2019-10-08 21:42:36,Khan Academy,Negativo,lixo,lix,lixo
Muito caro,1,2024-04-12 18:45:11,Babbel,Negativo,muito caro,car,caro
está fora de cervidor já usei antes e agora não tá funcionando mais,1,2026-04-05 16:34:47,Duolingo,Negativo,está fora de cervidor já usei antes e agora não tá funcionando mais,cerv use ant agor funcion,cervidor usei funcionar
"Esse app sempre foi muito bom, mas há algumas semanas que ele não abre sempre volta para tela inicial quando seleciono o e-mail que devo acessar.",1,2024-08-14 08:24:43,Google Classroom,Negativo,esse app sempre foi muito bom mas há algumas semanas que ele não abre sempre volta para tela inicial quando seleciono o email que devo acessar,app sempr bom algum seman abr sempr volt tel inic selecion email dev acess,app semana abrir volta tela inicial seleciono email dever acessar
"é útil? é. Mas e MUITO mal feito pqp, além de sempre travar é da B.O nós piores momentos... mas o conceito do app é legal",2,2025-10-04 01:19:54,Google Classroom,Negativo,é útil é mas e muito mal feito pqp além de sempre travar é da bo nós piores momentos mas o conceito do app é legal,útil mal feit pqp além sempr trav pi moment conceit app legal,útil fazer pqp travar piores momento conceito app legal
"Não estou conseguindo enviar minha redação para o sistema da escola. Quando tiro a foto para enviar, o aplicativo fecha e não consigo.",1,2025-03-11 22:01:44,Google Classroom,Negativo,não estou conseguindo enviar minha redação para o sistema da escola quando tiro a foto para enviar o aplicativo fecha e não consigo,consegu envi red sistem escol tir fot envi aplic fech consig,conseguir enviar redação escola tirar foto enviar aplicativo fechar consigir
e muitu ruim,2,2026-01-04 22:52:48,Google Classroom,Negativo,e muitu ruim,muitu ruim,muitu ruim
"Aplicativo com problemas visuais, impossibilitando de enxergar o conteúdo. precisa ser corrigido",2,2025-09-03 11:15:34,Udemy,Negativo,aplicativo com problemas visuais impossibilitando de enxergar o conteúdo precisa ser corrigido,aplic problem visual impossibilit enxerg conteúd precis corrig,aplicativo problema visual impossibilitar enxergar conteúdo precisar corriger
"um lixo, no anúncio fala q é de graça mais quando vc baixa ele te obriga a pagar, e com isso n aprende nada. Eu simplesmente odiei e n recomendo para ninguém. A gente só consegue estudar 5 rodadas. e principalmente isso é um roubo e enganação",1,2025-02-10 12:25:53,Quizlet,Negativo,um lixo no anúncio fala q é de graça mais quando vc baixa ele te obriga a pagar e com isso n aprende nada eu simplesmente odiei e n recomendo para ninguém a gente só consegue estudar rodadas e principalmente isso é um roubo e enganação,lix anúnci fal graç baix obrig pag aprend nad simples odi recom ninguém gent conseg estud rod princip roub engan,lixo anúncio falar graça baixar obrigar pagar aprender simplesmente odiar recomendo ninguém gente conseguir estudar rodada principalmente roubo enganação
"péssimo, trava muito, muitos bugs",1,2026-03-11 15:27:34,Google Classroom,Negativo,péssimo trava muito muitos bugs,péss tr muit bug,péssimo trar bugs
simplesmente horrível,1,2024-12-12 15:29:43,Google Classroom,Negativo,simplesmente horrível,simples horr,simplesmente horrível
Da erro de conexão a cada 1 semana,2,2023-06-29 08:24:50,Google Classroom,Negativo,da erro de conexão a cada semana,err conex cad seman,erro conexão semana
"Aplicativo aponta que o dispositivo não contém conexão com a internet, já tentei usando wi-fi e dados móveis, alterei também nas configurações para não ter restrição de internet em nenhuma ocasião e o erro persiste não sendo possível acessar nada.",1,2023-02-15 11:57:12,Udemy,Negativo,aplicativo aponta que o dispositivo não contém conexão com a internet já tentei usando wifi e dados móveis alterei também nas configurações para não ter restrição de internet em nenhuma ocasião e o erro persiste não sendo possível acessar nada,aplic apont disposi contém conex internet tent us wif dad móvel alt configur ter restr internet nenhum ocas err pers send possível acess nad,aplicativo apontar dispositivo contémr conexão Internet usar wifi dar móvel alterar configuração restrição Internet ocasião erro persistir ser acessar
Odeio estudar,1,2023-01-28 09:57:14,Google Classroom,Negativo,odeio estudar,odei estud,odeio estudar
num chega notificação Po tô perdendo minhas atividades arruma aí fazendo favor,1,2025-07-11 17:37:52,Google Classroom,Negativo,num chega notificação po tô perdendo minhas atividades arruma aí fazendo favor,cheg notific perd ativ arrum faz favor,chega notificação perder atividade arrumar fazer
"Horrível, esse ano o class conseguiu ser pior que as outras vezes que usei, além de não notificar os trabalhos que os professores mandam de atividade, quando vou mandar o anexo do trabalho eu preciso apertar 4 vezes pra ir por que NÃO APARECE de jeito nenhum, e não é apenas comigo, falei sobre isso com os meus colegas eles estão com o mesmo problema. Tem atividades que precisam ser entregue no mesmo dia em tal hora e se eu não entrar no aplicativo, eu não posso mandar depois a atividade.",1,2025-07-08 12:07:28,Google Classroom,Negativo,horrível esse ano o class conseguiu ser pior que as outras vezes que usei além de não notificar os trabalhos que os professores mandam de atividade quando vou mandar o anexo do trabalho eu preciso apertar vezes pra ir por que não aparece de jeito nenhum e não é apenas comigo falei sobre isso com os meus colegas eles estão com o mesmo problema tem atividades que precisam ser entregue no mesmo dia em tal hora e se eu não entrar no aplicativo eu não posso mandar depois a atividade,horr ano clas consegu pi outr vez use além notific trabalh profes mand ativ vou mand anex trabalh precis apert vez pra aparec jeit nenhum apen comig fal sobr coleg problem ativ precis entreg dia tal hor entr aplic poss mand ativ,horrível ano class conseguir mau usei notificar trabalho professor mandar atividade ir mandar anexo trabalho preciso apertar pra aparecer jeito nenhum comigo falar colega problema atividade precisar entregar dia hora entrar aplicativo mandar atividade
Lixo,1,2023-04-05 13:49:29,Google Classroom,Negativo,lixo,lix,lixo
"poderia ter idiomas asiáticos também, como o coreano e o japonês.",1,2025-06-22 15:02:24,Babbel,Negativo,poderia ter idiomas asiáticos também como o coreano e o japonês,pod ter idiom asiá core japon,poder idioma asiático coreano japonês
Um autêntico lixo não recomendo apenas uso porque a escola obriga um autêntico LIXOOOOOOOOOOOOOOOOO!!! 🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬☠️🤬☠️🤬☠️🤬☠️🤬🤬🤬☠️🤬☠️🤬☠️🤬☠️🤬☠️🤬👿☠️👿🤬👿☠️👿🤬👿☠️👿🤬👿☠️👿🤬👿🤬👿🤬👿☠️👿🤬👿☠️👿🤬👿🤬👿🤬👿🤬👿🤬👿🤬👿☠️🤬👿☠️👿🤬👿☠️👿🤬👿☠️👿🤬☠️👿🤬👿🤬👿🤬👿👿,1,2023-05-10 07:22:49,Google Classroom,Negativo,um autêntico lixo não recomendo apenas uso porque a escola obriga um autêntico lixooooooooooooooooo 🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬☠️🤬☠️🤬☠️🤬☠️🤬🤬🤬☠️🤬☠️🤬☠️🤬☠️🤬☠️🤬👿☠️👿🤬👿☠️👿🤬👿☠️👿🤬👿☠️👿🤬👿🤬👿🤬👿☠️👿🤬👿☠️👿🤬👿🤬👿🤬👿🤬👿🤬👿🤬👿☠️🤬👿☠️👿🤬👿☠️👿🤬👿☠️👿🤬☠️👿🤬👿🤬👿🤬👿👿,autênt lix recom apen uso porqu escol obrig autênt lixoooooooooooooooo 🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬☠️🤬☠️🤬☠️🤬☠️🤬🤬🤬☠️🤬☠️🤬☠️🤬☠️🤬☠️🤬👿☠️👿🤬👿☠️👿🤬👿☠️👿🤬👿☠️👿🤬👿🤬👿🤬👿☠️👿🤬👿☠️👿🤬👿🤬👿🤬👿🤬👿🤬👿🤬👿☠️🤬👿☠️👿🤬👿☠️👿🤬👿☠️👿🤬☠️👿🤬👿🤬👿🤬👿👿,autêntico lixo recomendar uso escola obrigar autêntico lixooooooooooooooooo
"Aplicativo horrível, precisa pagar para mostrar como fazer a conta",1,2024-09-05 09:32:13,Photomath,Negativo,aplicativo horrível precisa pagar para mostrar como fazer a conta,aplic horr precis pag mostr faz cont,aplicativo horrível precisar pagar mostrar conta
O aplicativo é bom mas com essa nova atualização agora não estou conseguindo acessar esse app,2,2023-04-18 09:20:41,Google Classroom,Negativo,o aplicativo é bom mas com essa nova atualização agora não estou conseguindo acessar esse app,aplic bom nov atual agor consegu acess app,aplicativo atualização conseguir acessar app
Esse app é pago. Versão gratuita quase que inexistente !,1,2024-11-05 16:41:02,Quizlet,Negativo,esse app é pago versão gratuita quase que inexistente,app pag vers gratuit quas inexist,app pagar versão gratuito quase inexistente
"cara eu baixei isso faz um tempao e só consigo entrar pelo site ou cmsp, baixei o app pra ficar melhor e minha conta n entra de jeito nenhum. pessimo",1,2024-09-16 19:40:25,Khan Academy,Negativo,cara eu baixei isso faz um tempao e só consigo entrar pelo site ou cmsp baixei o app pra ficar melhor e minha conta n entra de jeito nenhum pessimo,car baix faz tempa consig entr sit cmsp baix app pra fic melhor cont entr jeit nenhum pess,carar baixei tempao consigo entrar site cmspr baixei app pra ficar melhor conta entra jeito nenhum pessimo
~ Ruim poderia sebom,1,2025-05-05 17:11:02,Quizlet,Negativo,ruim poderia sebom,ruim pod sebom,ruim poder sebom
Eu odeio lição,1,2023-02-10 13:57:05,Google Classroom,Negativo,eu odeio lição,odei liç,odeio lição
