texto,nota,data,app
É o melhor curço de inglês que eu já fiz .muito bom para aprender idiomas,5,2026-04-06 22:18:31,Duolingo
um pouco limitado pra você conseguir bater um papo em outra língua,3,2026-04-06 22:17:19,Duolingo
muito top de legal demais top,5,2026-04-06 22:17:14,Duolingo
"esse app é sensacional, vc não quer deixar de usar, amei",5,2026-04-06 22:17:06,Duolingo
estou aprendendo muito,5,2026-04-06 22:16:35,Duolingo
legal,5,2026-04-06 22:15:07,Duolingo
"Excelente, aprendizado rápido e uma compreensão exelente",5,2026-04-06 22:14:43,Duolingo
e muito bom ;;---;,5,2026-04-06 22:14:33,Duolingo
gostei muito,5,2026-04-06 22:14:24,Duolingo
muito legal e educativo me ajudou muito no inglês e meu professor de inglês ficou impressionado,5,2026-04-06 22:13:34,Duolingo
"Eu acho bem legal! A mecânica das ofensivas, e do humor dentro do aplicativo, se a pessoa for motivada, vai ter um curso bem sucedido. Mas, acho que ainda não é o suficiente, sempre falta alguma coisa para completar, um toque final, na minha opinião... depende muito da pessoa, se quer aprender um idioma dentro do aplicativo.",4,2026-04-06 22:11:57,Duolingo
eu já tô aprendendo muitas palavras e é muito bom,5,2026-04-06 22:11:49,Duolingo
acho muito legal o duo recomendo vc instalar ele estou aprendendo inglês xadrez e espanhol mais tem muito mais cursos instale vc não vai se arrepender,5,2026-04-06 22:09:43,Duolingo
um app ótimo para aprender inglês para quem é iniciante,5,2026-04-06 22:09:14,Duolingo
muito bom ameiiiiiiii 😍😍😍😍😍😍😍😍😍😍😍😍😍,5,2026-04-06 22:08:49,Duolingo
muito bom,5,2026-04-06 22:08:14,Duolingo
tô amando meu inglês ta melhorou muito,5,2026-04-06 22:07:54,Duolingo
"É um bom app, mas com a atualização da energia, isso mudou. Se quiser manter seu rank na sua divisão, vai ter que usar dinheiro.",1,2026-04-06 22:07:18,Duolingo
ótimo.,4,2026-04-06 22:07:18,Duolingo
Muito bom pra aprender 😁 JUROOO,5,2026-04-06 22:07:16,Duolingo
😘,5,2026-04-06 22:06:16,Duolingo
só pro duolingo não me sequestra,5,2026-04-06 22:03:57,Duolingo
e bom pra quem quer saber só o básico,5,2026-04-06 22:03:30,Duolingo
EU AMEI e maravilhoso o de música e simplesmente um dos melhores!!,5,2026-04-06 22:03:19,Duolingo
muito bom🥰,5,2026-04-06 22:02:40,Duolingo
"eu já aprendi muito de japonês aq, muito bom",5,2026-04-06 22:01:00,Duolingo
"é o melhor app para estudar línguas que já utilizei. porém faz algumas semanas o app apresenta erros. simplesmente não aparece o botão para continuar, as vezes estamos no final da lição, e desaparece o botão, o que me faz voltar e perder toda a lição, assim como a sequência de acertos! é irritante! e não tem com quem falar sobre isso e nem reportar o erro",4,2026-04-06 22:00:19,Duolingo
brabo,5,2026-04-06 22:00:10,Duolingo
gosto muito,5,2026-04-06 21:58:29,Duolingo
"7 dias usando o Duolingo,foi o suficiente pra melhorar meu inglês muito mais,tem anúncios mas é só te paciência,1 ou 2 anúncios n vai acabar com ninguém",5,2026-04-06 21:58:26,Duolingo
Recomendo muito o Duolingo,5,2026-04-06 21:57:25,Duolingo
O duolingo é muito bom mas pelo menos eu aprendo,5,2026-04-06 21:56:15,Duolingo
muito bom e legal é e de graça,5,2026-04-06 21:55:50,Duolingo
"N sei oque falar, good day hou are you",5,2026-04-06 21:53:43,Duolingo
o ensino é bom e também ajuda a desenvolver muito no inglês como outras línguas.,5,2026-04-06 21:53:32,Duolingo
muito bom estou aprendendo muito e o duo se preocupa muito com te elogiar quando acerta uma pergunta,5,2026-04-06 21:49:54,Duolingo
muito legal mas poderia as fazer ser um pouco mais diferentes mais legais. as fazes de agr são cansativas e enjoativas,3,2026-04-06 21:48:46,Duolingo
"muito bom , gratificante",5,2026-04-06 21:46:09,Duolingo
É bão,5,2026-04-06 21:44:21,Duolingo
legal para aprender inglés,5,2026-04-06 21:42:44,Duolingo
"o app tá horrível, não registra as lições feitas, não registra meta diária, não computa pontos, tá complicado.",1,2026-04-06 21:40:06,Duolingo
maravilhoso ta me ajudando muito nós estudos de coreano ❤️,5,2026-04-06 21:37:55,Duolingo
"a qualidade do app caiu bastante desde que começaram a usar mais inteligência artificial. As vozes dos personagens agora são irritantes de ouvir. Além disso, a quantidade de anúncios também é insuportável (1 anúncio após cada atividade) e eu particularmente ODIEI essa ideia de trocar os corações que só acabavam quando você cometia 5 erros por energia que acaba DURANTE os exercícios.",1,2026-04-06 21:36:56,Duolingo
muito bom,5,2026-04-06 21:35:11,Duolingo
muito bom,5,2026-04-06 21:30:24,Duolingo
tô aprendendo muito,5,2026-04-06 21:30:10,Duolingo
muito bom dia a dia todo mundo aqui em casa estuda ❤️❤️❤️❤️,5,2026-04-06 21:30:03,Duolingo
Encina muito bem quando vc tá querendo aprender línguas novas,5,2026-04-06 21:29:10,Duolingo
